Year,Argentina,Australia,Austria,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,CostaRica,Croatia,Cyprus,CzechRepublic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Mexico,Monaco,Netherlands,NewZealand,Norway,Peru,Poland,Portugal,Romania,Russia,SaudiArabia,SlovakRepublic,Slovenia,SouthAfrica,Spain,Sweden,Switzerland,Türkiye,Ukraine,UnitedKingdom,UnitedStates,Global
1990,220240.77,425624.307,78423.221,146151.803,145686.757,552640.82,98356.813,594722.243,49209.47,4057613,101878.751,8196.56,31394.427,5576.488,196955.242,71429.972,40175.175,71015.768,547183.229,1241919.234,103450.64,94820.922,3674.481,1214244,266818.39,385429.3,54395.332,57647,519907.937,1269901.035,385602.997,292097.82,25868.252,228.475,47860.896,12732.993,2599.283,467413.124,102.739,219596.541,65196.981,51431.791,57578.87,475872.746,58365.683,248981.183,3162627.605,165268.97,73374.792,18598.852,347349.36,290103.673,71441.555,53566.248,219720.001,942389.616,797015.766,6453450.223,57444141.55
1991,230413.76,425686.445,82095.386,137364.938,148406.621,574601.49,80200.031,587905.794,47321.2,4057614,104424.755,8056.64,24698.952,6077.964,178725.424,82054.152,37295.324,68929.12,574174.334,1195966.138,103503.178,88340.32,3459.852,1214245,292610.4,385430.3,55205.149,57648,521154.088,1284360.846,370312.189,315341.45,23972.535,236.043,49843.944,13373.874,2452.204,477528.929,103.597,227256.548,66175.527,49025.047,57579.87,463801.213,60288.063,205258.281,3001659.104,165269.97,63918.513,17246.783,347350.36,297816.597,71688.516,55473.483,227104.944,856026.442,805857.214,6382938.922,56406865.51
1992,234122.38,429473.085,75464.122,125737.392,148007.194,583848.35,74601.95,605290.249,48984.82,4057615,109571.266,8797.32,22778.484,6523.432,173319.615,76040.82,27136.656,67511.797,562058.253,1146454.342,104711.349,78157.648,3369.4,1214246,306828.59,385431.3,55193.569,57649,520199.42,1296213.007,343622.441,343337.58,19199.88,236.243,30664.541,13143.841,2517.179,479929.693,109.239,227938.944,67332.214,47367.611,57580.87,451029.351,64147.526,189886.033,2521408.581,165270.97,58210.713,17236.295,347351.36,307440.415,71213.258,55241.685,233312.95,801043.258,785188.986,6497290.079,55802831.68
1993,239560.14,430381.731,75806.346,111850.42,146865.837,596099.4,74018.326,607681.077,51438.6,4057616,111662.295,8892.5,22728.089,6812.178,166101.383,78197.697,21688.57,69761.201,542044.615,1137451.367,104318.91,79372.325,3449.368,1214247,318657.49,385432.3,55743.62,57650,513231.786,1292021.178,307947.551,378532.87,15782.963,243.366,24586.68,13299.438,3105.26,483660.292,108.386,228686.534,67194.374,49331.791,57581.87,450927.277,62651.519,179754.576,2382499.415,165271.97,54800.77,17483.722,347352.36,296865.052,71510.192,52695.052,240635.808,710953.123,765797.925,6613395.75,55702218.37
1994,243598.69,430848.498,76039.472,94117.507,151469.475,613905.5,70137.935,628145.869,54532.77,4057617,113044.859,9622.28,21826.467,7060.234,157398.166,82105.132,22181.183,75346.753,534674.42,1119681.968,107040.733,78430.428,3376.159,1214248,334191.21,385433.3,57213.464,57651,507332.063,1353190.917,260513.392,403541.17,13831.486,229.721,23219.927,12464.685,2886.544,513962.001,109.083,229568.289,68443.501,51236.051,57582.87,445318.008,63560.344,177163.398,2119790.293,165272.97,52331.006,17902.695,379837.16,313888.669,74016.112,51688.113,234610.698,604680.666,754948.24,6700778.176,61976279.81
1995,244499.37,439269.878,79283.43,87541.804,153593.384,638769.9,71677.019,645455.297,57903.8,4057618,115599.564,9693.6,22486.003,6996.944,156320.848,79174.867,20080.529,71632.461,540195.195,1115305.357,109399.06,77194.412,3506.175,1214249,334192.21,385434.3,58746.021,57652,533876.446,1374714.901,243208.556,433757.32,12448.476,233.54,22233.489,10090.933,2682.41,503565.252,105.723,229625.238,69012.907,51631.424,57583.87,447348.593,68231.914,184291.162,2067814.835,165273.97,52840.35,18683.174,379838.16,330044.526,73363.501,52621.606,248560.973,561889.842,748697.905,6785363.614,56151563.27
1996,256463.93,445847.225,82482.782,88101.473,157305.327,643708.82,72110.035,666701.91,63845.68,4057619,117221.558,9562.84,22977.401,7341.989,159433.59,92340.46,21033.534,77625.718,557168.382,1133362.884,112533.541,79554.035,3563.568,1214250,334193.21,385435.3,60912.346,57653,528309.103,1387772.006,224969.223,470241.17,12503.06,235.849,23276.504,10152.123,2801.454,521689.449,109.527,240401.58,71191.486,54511.429,57584.87,461159.063,65948.353,187190.478,2016774.076,165274.97,52686.83,19287.597,379839.16,322247.128,77313.203,53323.903,267662.004,515054.391,769570.071,6990925.58,57536894.17
1997,258303.62,457864.51,82134.093,88861.872,148839.893,668029.6,68918.228,682298.998,71466.73,4057620,123168.797,9272.53,24364.502,7430.126,154987.139,82916.566,20750.104,76325.077,549668.411,1098413.401,117432.533,78011.923,3731.123,1214251,334194.21,385436.3,62374.014,57654,535982.685,1379898.48,217101.215,501875.15,11949.36,248.425,22840.917,9501.801,2815.944,551984.373,108.142,232356.342,74027.478,54533.099,57585.87,451079.164,69146.787,180041.019,1899349.788,165275.97,52537.199,19826.444,379840.16,336504.83,72310.304,52170.061,278883.252,499354.884,745547.679,7046213.088,57517842.51
1998,262725.06,472145.832,81452.381,89984.292,154012.683,685872.35,64862.578,688613.931,72442.96,4057621,123130.077,9811.83,24450.957,7758.97,148909.789,78885.857,18999.996,72632.576,564256.479,1073178.323,123012.638,77400.906,3875.5,1214252,334195.21,385437.3,64963.952,57655,548410.486,1331447.762,213081.151,431387.62,11451.021,259.382,23804.511,8620.158,2778.448,577829.128,107.277,232742.897,71822.353,54560.823,57586.87,420746.342,74018.721,162982.779,1867454.795,165276.97,51818.948,19417.931,379841.16,345924.155,72759.318,53736.414,280437.955,480675.672,744404.845,7094833.389,57308327
1999,264637.84,478136.875,79922.245,83572.498,147781.816,702927.57,57845.81,701758.712,75285.86,4057622,117878.845,9951.7,25755.59,8026.003,139213.241,76380.864,17851.345,72008.856,558784.321,1039200.172,123144.351,77817.225,4096.919,1214253,334196.21,385438.3,66201.93,57656,553714.513,1354848.931,186720.042,469368.62,10674.574,256.383,20987.276,9084.314,2863.794,569142.308,108.444,219291.088,73576.262,55582.864,57587.87,409335.655,82117.517,144983.623,1897763.779,165277.97,50517.045,18803.492,379842.16,372916.279,69684.059,53580.156,277879.815,449361.444,714329.713,7138140.713,57287008.29
